"Notes","Occurrence County","Occurrence County Code","Multiple Cause of death","Multiple Cause of death Code",Deaths,Population,Crude Rate,% of Total Deaths
,"Hennepin County, MN","27053","Mental and behavioural disorders due to use of cannabinoids, unspecified mental and behavioural disorder","F12.9",14,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder","F13.9",81,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Mental and behavioural disorders due to use of cocaine, harmful use","F14.1",12,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",360,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",17,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",419,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",8976,Not Applicable,Not Applicable,0.4%
,"Hennepin County, MN","27053","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",266,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome","F19.2",54,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, withdrawal state","F19.3",11,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",876,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",188,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",838,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",889,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X61",25,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X62",14,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",48,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent","Y11",18,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent","Y12",26,Not Applicable,Not Applicable,0.0%
,"Hennepin County, MN","27053","Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent","Y14",41,Not Applicable,Not Applicable,0.0%
,"Houston County, MN","27055","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",158,Not Applicable,Not Applicable,0.0%
,"Hubbard County, MN","27057","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",180,Not Applicable,Not Applicable,0.0%
,"Isanti County, MN","27059","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",13,Not Applicable,Not Applicable,0.0%
,"Isanti County, MN","27059","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",390,Not Applicable,Not Applicable,0.0%
,"Isanti County, MN","27059","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",10,Not Applicable,Not Applicable,0.0%
,"Itasca County, MN","27061","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",14,Not Applicable,Not Applicable,0.0%
,"Itasca County, MN","27061","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",607,Not Applicable,Not Applicable,0.0%
,"Itasca County, MN","27061","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",13,Not Applicable,Not Applicable,0.0%
,"Jackson County, MN","27063","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",66,Not Applicable,Not Applicable,0.0%
,"Kanabec County, MN","27065","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",172,Not Applicable,Not Applicable,0.0%
,"Kandiyohi County, MN","27067","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",309,Not Applicable,Not Applicable,0.0%
,"Kittson County, MN","27069","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",35,Not Applicable,Not Applicable,0.0%
,"Koochiching County, MN","27071","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",91,Not Applicable,Not Applicable,0.0%
,"Lac qui Parle County, MN","27073","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",80,Not Applicable,Not Applicable,0.0%
,"Lake County, MN","27075","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",80,Not Applicable,Not Applicable,0.0%
,"Lake of the Woods County, MN","27077","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",42,Not Applicable,Not Applicable,0.0%
,"Le Sueur County, MN","27079","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",165,Not Applicable,Not Applicable,0.0%
,"Lincoln County, MN","27081","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",56,Not Applicable,Not Applicable,0.0%
,"Lyon County, MN","27083","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",190,Not Applicable,Not Applicable,0.0%
,"McLeod County, MN","27085","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",311,Not Applicable,Not Applicable,0.0%
,"Mahnomen County, MN","27087","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",14,Not Applicable,Not Applicable,0.0%
,"Mahnomen County, MN","27087","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",66,Not Applicable,Not Applicable,0.0%
,"Mahnomen County, MN","27087","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",15,Not Applicable,Not Applicable,0.0%
,"Marshall County, MN","27089","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",53,Not Applicable,Not Applicable,0.0%
,"Martin County, MN","27091","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",145,Not Applicable,Not Applicable,0.0%
,"Meeker County, MN","27093","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",197,Not Applicable,Not Applicable,0.0%
,"Mille Lacs County, MN","27095","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",15,Not Applicable,Not Applicable,0.0%
,"Mille Lacs County, MN","27095","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",297,Not Applicable,Not Applicable,0.0%
,"Mille Lacs County, MN","27095","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",11,Not Applicable,Not Applicable,0.0%
,"Mille Lacs County, MN","27095","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",12,Not Applicable,Not Applicable,0.0%
,"Mille Lacs County, MN","27095","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",21,Not Applicable,Not Applicable,0.0%
,"Morrison County, MN","27097","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",246,Not Applicable,Not Applicable,0.0%
,"Morrison County, MN","27097","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",10,Not Applicable,Not Applicable,0.0%
,"Mower County, MN","27099","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",282,Not Applicable,Not Applicable,0.0%
,"Mower County, MN","27099","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",11,Not Applicable,Not Applicable,0.0%
,"Mower County, MN","27099","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",12,Not Applicable,Not Applicable,0.0%
,"Murray County, MN","27101","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",63,Not Applicable,Not Applicable,0.0%
,"Nicollet County, MN","27103","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",154,Not Applicable,Not Applicable,0.0%
,"Nobles County, MN","27105","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",148,Not Applicable,Not Applicable,0.0%
,"Norman County, MN","27107","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",84,Not Applicable,Not Applicable,0.0%
,"Olmsted County, MN","27109","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",566,Not Applicable,Not Applicable,0.0%
,"Olmsted County, MN","27109","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",14,Not Applicable,Not Applicable,0.0%
,"Olmsted County, MN","27109","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",11,Not Applicable,Not Applicable,0.0%
,"Olmsted County, MN","27109","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",56,Not Applicable,Not Applicable,0.0%
,"Olmsted County, MN","27109","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",68,Not Applicable,Not Applicable,0.0%
,"Olmsted County, MN","27109","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",67,Not Applicable,Not Applicable,0.0%
,"Olmsted County, MN","27109","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",12,Not Applicable,Not Applicable,0.0%
,"Otter Tail County, MN","27111","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",525,Not Applicable,Not Applicable,0.0%
,"Pennington County, MN","27113","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",190,Not Applicable,Not Applicable,0.0%
,"Pennington County, MN","27113","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",11,Not Applicable,Not Applicable,0.0%
,"Pine County, MN","27115","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",14,Not Applicable,Not Applicable,0.0%
,"Pine County, MN","27115","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",298,Not Applicable,Not Applicable,0.0%
,"Pine County, MN","27115","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",24,Not Applicable,Not Applicable,0.0%
,"Pipestone County, MN","27117","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",63,Not Applicable,Not Applicable,0.0%
,"Polk County, MN","27119","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",272,Not Applicable,Not Applicable,0.0%
,"Pope County, MN","27121","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",94,Not Applicable,Not Applicable,0.0%
,"Ramsey County, MN","27123","Mental and behavioural disorders due to use of opioids, dependence syndrome","F11.2",10,Not Applicable,Not Applicable,0.0%
,"Ramsey County, MN","27123","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",390,Not Applicable,Not Applicable,0.0%
,"Ramsey County, MN","27123","Mental and behavioural disorders due to use of sedatives or hypnotics, unspecified mental and behavioural disorder","F13.9",12,Not Applicable,Not Applicable,0.0%
,"Ramsey County, MN","27123","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",162,Not Applicable,Not Applicable,0.0%
,"Ramsey County, MN","27123","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",12,Not Applicable,Not Applicable,0.0%
,"Ramsey County, MN","27123","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",285,Not Applicable,Not Applicable,0.0%
,"Ramsey County, MN","27123","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",4269,Not Applicable,Not Applicable,0.2%
,"Ramsey County, MN","27123","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",62,Not Applicable,Not Applicable,0.0%
,"Ramsey County, MN","27123","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",42,Not Applicable,Not Applicable,0.0%
,"Ramsey County, MN","27123","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",123,Not Applicable,Not Applicable,0.0%
,"Ramsey County, MN","27123","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",430,Not Applicable,Not Applicable,0.0%
,"Ramsey County, MN","27123","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",381,Not Applicable,Not Applicable,0.0%
,"Ramsey County, MN","27123","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",19,Not Applicable,Not Applicable,0.0%
,"Ramsey County, MN","27123","Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent","Y14",11,Not Applicable,Not Applicable,0.0%
,"Red Lake County, MN","27125","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",25,Not Applicable,Not Applicable,0.0%
,"Redwood County, MN","27127","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",89,Not Applicable,Not Applicable,0.0%
,"Renville County, MN","27129","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",107,Not Applicable,Not Applicable,0.0%
,"Rice County, MN","27131","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",472,Not Applicable,Not Applicable,0.0%
,"Rock County, MN","27133","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",58,Not Applicable,Not Applicable,0.0%
,"Roseau County, MN","27135","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",99,Not Applicable,Not Applicable,0.0%
,"St. Louis County, MN","27137","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",44,Not Applicable,Not Applicable,0.0%
,"St. Louis County, MN","27137","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",10,Not Applicable,Not Applicable,0.0%
,"St. Louis County, MN","27137","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",16,Not Applicable,Not Applicable,0.0%
,"St. Louis County, MN","27137","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",112,Not Applicable,Not Applicable,0.0%
,"St. Louis County, MN","27137","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",3306,Not Applicable,Not Applicable,0.1%
,"St. Louis County, MN","27137","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",37,Not Applicable,Not Applicable,0.0%
,"St. Louis County, MN","27137","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",78,Not Applicable,Not Applicable,0.0%
,"St. Louis County, MN","27137","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",49,Not Applicable,Not Applicable,0.0%
,"St. Louis County, MN","27137","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",77,Not Applicable,Not Applicable,0.0%
,"St. Louis County, MN","27137","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",159,Not Applicable,Not Applicable,0.0%
,"St. Louis County, MN","27137","Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X64",12,Not Applicable,Not Applicable,0.0%
,"Scott County, MN","27139","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",24,Not Applicable,Not Applicable,0.0%
,"Scott County, MN","27139","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",16,Not Applicable,Not Applicable,0.0%
,"Scott County, MN","27139","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",663,Not Applicable,Not Applicable,0.0%
,"Scott County, MN","27139","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",32,Not Applicable,Not Applicable,0.0%
,"Scott County, MN","27139","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",23,Not Applicable,Not Applicable,0.0%
,"Scott County, MN","27139","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",39,Not Applicable,Not Applicable,0.0%
,"Sherburne County, MN","27141","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",456,Not Applicable,Not Applicable,0.0%
,"Sherburne County, MN","27141","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",10,Not Applicable,Not Applicable,0.0%
,"Sherburne County, MN","27141","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",16,Not Applicable,Not Applicable,0.0%
,"Sibley County, MN","27143","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",101,Not Applicable,Not Applicable,0.0%
,"Stearns County, MN","27145","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",12,Not Applicable,Not Applicable,0.0%
,"Stearns County, MN","27145","Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder","F14.9",16,Not Applicable,Not Applicable,0.0%
,"Stearns County, MN","27145","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",10,Not Applicable,Not Applicable,0.0%
,"Stearns County, MN","27145","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",64,Not Applicable,Not Applicable,0.0%
,"Stearns County, MN","27145","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",1470,Not Applicable,Not Applicable,0.1%
,"Stearns County, MN","27145","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",21,Not Applicable,Not Applicable,0.0%
,"Stearns County, MN","27145","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",27,Not Applicable,Not Applicable,0.0%
,"Stearns County, MN","27145","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",27,Not Applicable,Not Applicable,0.0%
,"Stearns County, MN","27145","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",44,Not Applicable,Not Applicable,0.0%
,"Stearns County, MN","27145","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",57,Not Applicable,Not Applicable,0.0%
,"Steele County, MN","27147","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",333,Not Applicable,Not Applicable,0.0%
,"Steele County, MN","27147","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use","F19.1",11,Not Applicable,Not Applicable,0.0%
,"Stevens County, MN","27149","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",53,Not Applicable,Not Applicable,0.0%
,"Swift County, MN","27151","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",79,Not Applicable,Not Applicable,0.0%
,"Todd County, MN","27153","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",187,Not Applicable,Not Applicable,0.0%
,"Traverse County, MN","27155","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",34,Not Applicable,Not Applicable,0.0%
,"Wabasha County, MN","27157","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",174,Not Applicable,Not Applicable,0.0%
,"Wadena County, MN","27159","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",223,Not Applicable,Not Applicable,0.0%
,"Waseca County, MN","27161","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",142,Not Applicable,Not Applicable,0.0%
,"Washington County, MN","27163","Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder","F11.9",35,Not Applicable,Not Applicable,0.0%
,"Washington County, MN","27163","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",23,Not Applicable,Not Applicable,0.0%
,"Washington County, MN","27163","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",1174,Not Applicable,Not Applicable,0.0%
,"Washington County, MN","27163","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",16,Not Applicable,Not Applicable,0.0%
,"Washington County, MN","27163","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",50,Not Applicable,Not Applicable,0.0%
,"Washington County, MN","27163","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",34,Not Applicable,Not Applicable,0.0%
,"Watonwan County, MN","27165","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",66,Not Applicable,Not Applicable,0.0%
,"Wilkin County, MN","27167","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",47,Not Applicable,Not Applicable,0.0%
,"Winona County, MN","27169","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",341,Not Applicable,Not Applicable,0.0%
,"Winona County, MN","27169","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",11,Not Applicable,Not Applicable,0.0%
,"Winona County, MN","27169","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",20,Not Applicable,Not Applicable,0.0%
,"Wright County, MN","27171","Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder","F15.9",11,Not Applicable,Not Applicable,0.0%
,"Wright County, MN","27171","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",790,Not Applicable,Not Applicable,0.0%
,"Wright County, MN","27171","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",18,Not Applicable,Not Applicable,0.0%
,"Wright County, MN","27171","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",14,Not Applicable,Not Applicable,0.0%
,"Yellow Medicine County, MN","27173","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",67,Not Applicable,Not Applicable,0.0%
,"Adams County, MS","28001","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",36,Not Applicable,Not Applicable,0.0%
,"Adams County, MS","28001","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,Not Applicable,Not Applicable,0.0%
,"Alcorn County, MS","28003","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",253,Not Applicable,Not Applicable,0.0%
,"Alcorn County, MS","28003","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",10,Not Applicable,Not Applicable,0.0%
,"Alcorn County, MS","28003","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",11,Not Applicable,Not Applicable,0.0%
,"Alcorn County, MS","28003","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",11,Not Applicable,Not Applicable,0.0%
,"Amite County, MS","28005","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",55,Not Applicable,Not Applicable,0.0%
,"Attala County, MS","28007","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",35,Not Applicable,Not Applicable,0.0%
,"Bolivar County, MS","28011","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",95,Not Applicable,Not Applicable,0.0%
,"Calhoun County, MS","28013","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",102,Not Applicable,Not Applicable,0.0%
,"Carroll County, MS","28015","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",55,Not Applicable,Not Applicable,0.0%
,"Chickasaw County, MS","28017","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",70,Not Applicable,Not Applicable,0.0%
,"Choctaw County, MS","28019","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",20,Not Applicable,Not Applicable,0.0%
,"Clarke County, MS","28023","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",88,Not Applicable,Not Applicable,0.0%
,"Clay County, MS","28025","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",119,Not Applicable,Not Applicable,0.0%
,"Coahoma County, MS","28027","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",11,Not Applicable,Not Applicable,0.0%
,"Coahoma County, MS","28027","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",15,Not Applicable,Not Applicable,0.0%
,"Copiah County, MS","28029","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",226,Not Applicable,Not Applicable,0.0%
,"Copiah County, MS","28029","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder","F19.9",13,Not Applicable,Not Applicable,0.0%
,"Copiah County, MS","28029","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",10,Not Applicable,Not Applicable,0.0%
,"Covington County, MS","28031","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",66,Not Applicable,Not Applicable,0.0%
,"DeSoto County, MS","28033","Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder","F17.9",221,Not Applicable,Not Applicable,0.0%
,"DeSoto County, MS","28033","Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified","X41",17,Not Applicable,Not Applicable,0.0%
,"DeSoto County, MS","28033","Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified","X42",88,Not Applicable,Not Applicable,0.0%
,"DeSoto County, MS","28033","Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances","X44",65,Not Applicable,Not Applicable,0.0%
,"Forrest County, MS","28035","Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use","F15.1",11,Not Applicable,Not Applicable,0.0%
